x,y,z
0,0,9.40939e-15
1,-0.587785,-0.587785
2,0.951057,0.951057
3,-0.951057,-0.951057
4,0.587785,0.587785
5,-7.34788e-16,6.73056e-16
6,-0.587785,-0.587785
7,0.951057,0.951057
8,-0.951057,-0.951057
9,0.587785,0.587785
10,-1.46958e-15,-7.34408e-17
11,-0.587785,-0.587785
12,0.951057,0.951057
13,-0.951057,-0.951057
14,0.587785,0.587785
15,-9.30979e-15,-3.28677e-16
16,-0.587785,-0.587785
17,0.951057,0.951057
18,-0.951057,-0.951057
19,0.587785,0.587785
20,-2.93915e-15,5.09452e-15
21,-0.587785,-0.587785
22,0.951057,0.951057
23,-0.951057,-0.951057
24,0.587785,0.587785
25,-1.07794e-14,-1.15977e-14
26,-0.587785,-0.587785
27,0.951057,0.951057
28,-0.951057,-0.951057
29,0.587785,0.587785
30,-1.86196e-14,-1.0979e-14
31,-0.587785,-0.587785
32,0.951057,0.951057
33,-0.951057,-0.951057
34,0.587785,0.587785
35,1.96191e-15,1.06158e-14
36,-0.587785,-0.587785
37,0.951057,0.951057
38,-0.951057,-0.951057
39,0.587785,0.587785
40,-5.8783e-15,-1.47597e-16
41,-0.587785,-0.587785
42,0.951057,0.951057
43,-0.951057,-0.951057
44,0.587785,0.587785
45,-1.37185e-14,-7.01972e-15
46,-0.587785,-0.587785
47,0.951057,0.951057
48,-0.951057,-0.951057
49,0.587785,0.587785
50,-2.15587e-14,-1.15141e-14
51,-0.587785,-0.587785
52,0.951057,0.951057
53,-0.951057,-0.951057
54,0.587785,0.587785
55,-9.77242e-16,2.99684e-14
56,-0.587785,-0.587785
57,0.951057,0.951057
58,-0.951057,-0.951057
59,0.587785,0.587785
60,-3.72392e-14,-2.6793e-14
61,-0.587785,-0.587785
62,0.951057,0.951057
63,-0.951057,-0.951057
64,0.587785,0.587785
65,-1.66577e-14,-2.30588e-14
66,-0.587785,-0.587785
67,0.951057,0.951057
68,-0.951057,-0.951057
69,0.587785,0.587785
70,3.92382e-15,2.4778e-14
71,-0.587785,-0.587785
72,0.951057,0.951057
73,-0.951057,-0.951057
74,0.587785,0.587785
75,-3.91639e-15,2.46406e-14
76,-0.587785,-0.587785
77,0.951057,0.951057
78,-0.951057,-0.951057
79,0.587785,0.587785
80,-1.17566e-14,4.81377e-15
81,-0.587785,-0.587785
82,0.951057,0.951057
83,-0.951057,-0.951057
84,0.587785,0.587785
85,-1.95968e-14,-1.42608e-14
86,-0.587785,-0.587785
87,0.951057,0.951057
88,-0.951057,-0.951057
89,0.587785,0.587785
90,-2.7437e-14,-6.17341e-15
91,-0.587785,-0.587785
92,0.951057,0.951057
93,-0.951057,-0.951057
94,0.587785,0.587785
95,-3.52773e-14,-2.30733e-15
96,-0.587785,-0.587785
97,0.951057,0.951057
98,-0.951057,-0.951057
99,0.587785,0.587785
