x,y,z
0,1,1
1,0.998027,0.998027
2,0.992115,0.992115
3,0.982287,0.982287
4,0.968583,0.968583
5,0.951057,0.951057
6,0.929776,0.929776
7,0.904827,0.904827
8,0.876307,0.876307
9,0.844328,0.844328
10,0.809017,0.809017
11,0.770513,0.770513
12,0.728969,0.728969
13,0.684547,0.684547
14,0.637424,0.637424
15,0.587785,0.587785
16,0.535827,0.535827
17,0.481754,0.481754
18,0.425779,0.425779
19,0.368125,0.368125
20,0.309017,0.309017
21,0.24869,0.24869
22,0.187381,0.187381
23,0.125333,0.125333
24,0.0627905,0.0627905
25,6.12323e-17,3.71553e-15
26,-0.0627905,-0.0627905
27,-0.125333,-0.125333
28,-0.187381,-0.187381
29,-0.24869,-0.24869
30,-0.309017,-0.309017
31,-0.368125,-0.368125
32,-0.425779,-0.425779
33,-0.481754,-0.481754
34,-0.535827,-0.535827
35,-0.587785,-0.587785
36,-0.637424,-0.637424
37,-0.684547,-0.684547
38,-0.728969,-0.728969
39,-0.770513,-0.770513
40,-0.809017,-0.809017
41,-0.844328,-0.844328
42,-0.876307,-0.876307
43,-0.904827,-0.904827
44,-0.929776,-0.929776
45,-0.951057,-0.951057
46,-0.968583,-0.968583
47,-0.982287,-0.982287
48,-0.992115,-0.992115
49,-0.998027,-0.998027
50,-1,-1
51,-0.998027,-0.998027
52,-0.992115,-0.992115
53,-0.982287,-0.982287
54,-0.968583,-0.968583
55,-0.951057,-0.951057
56,-0.929776,-0.929776
57,-0.904827,-0.904827
58,-0.876307,-0.876307
59,-0.844328,-0.844328
60,-0.809017,-0.809017
61,-0.770513,-0.770513
62,-0.728969,-0.728969
63,-0.684547,-0.684547
64,-0.637424,-0.637424
65,-0.587785,-0.587785
66,-0.535827,-0.535827
67,-0.481754,-0.481754
68,-0.425779,-0.425779
69,-0.368125,-0.368125
70,-0.309017,-0.309017
71,-0.24869,-0.24869
72,-0.187381,-0.187381
73,-0.125333,-0.125333
74,-0.0627905,-0.0627905
75,-1.83697e-16,-1.9656e-15
76,0.0627905,0.0627905
77,0.125333,0.125333
78,0.187381,0.187381
79,0.24869,0.24869
80,0.309017,0.309017
81,0.368125,0.368125
82,0.425779,0.425779
83,0.481754,0.481754
84,0.535827,0.535827
85,0.587785,0.587785
86,0.637424,0.637424
87,0.684547,0.684547
88,0.728969,0.728969
89,0.770513,0.770513
90,0.809017,0.809017
91,0.844328,0.844328
92,0.876307,0.876307
93,0.904827,0.904827
94,0.929776,0.929776
95,0.951057,0.951057
96,0.968583,0.968583
97,0.982287,0.982287
98,0.992115,0.992115
99,0.998027,0.998027
