x,y,z
0,1,0.99
1,0.999507,1.00951
2,0.998027,0.988027
3,0.995562,1.00556
4,0.992115,0.982115
5,0.987688,0.997688
6,0.982287,0.972287
7,0.975917,0.985917
8,0.968583,0.958583
9,0.960294,0.970294
10,0.951057,0.941057
11,0.940881,0.950881
12,0.929776,0.919776
13,0.917755,0.927755
14,0.904827,0.894827
15,0.891007,0.901007
16,0.876307,0.866307
17,0.860742,0.870742
18,0.844328,0.834328
19,0.827081,0.837081
20,0.809017,0.799017
21,0.790155,0.800155
22,0.770513,0.760513
23,0.750111,0.760111
24,0.728969,0.718969
25,0.707107,0.717107
26,0.684547,0.674547
27,0.661312,0.671312
28,0.637424,0.627424
29,0.612907,0.622907
30,0.587785,0.577785
31,0.562083,0.572083
32,0.535827,0.525827
33,0.509041,0.519041
34,0.481754,0.471754
35,0.45399,0.46399
36,0.425779,0.415779
37,0.397148,0.407148
38,0.368125,0.358125
39,0.338738,0.348738
40,0.309017,0.299017
41,0.278991,0.288991
42,0.24869,0.23869
43,0.218143,0.228143
44,0.187381,0.177381
45,0.156434,0.166434
46,0.125333,0.115333
47,0.0941083,0.104108
48,0.0627905,0.0527905
49,0.0314108,0.0414108
50,6.12323e-17,-0.01
51,-0.0314108,-0.0214108
52,-0.0627905,-0.0727905
53,-0.0941083,-0.0841083
54,-0.125333,-0.135333
55,-0.156434,-0.146434
56,-0.187381,-0.197381
57,-0.218143,-0.208143
58,-0.24869,-0.25869
59,-0.278991,-0.268991
60,-0.309017,-0.319017
61,-0.338738,-0.328738
62,-0.368125,-0.378125
63,-0.397148,-0.387148
64,-0.425779,-0.435779
65,-0.45399,-0.44399
66,-0.481754,-0.491754
67,-0.509041,-0.499041
68,-0.535827,-0.545827
69,-0.562083,-0.552083
70,-0.587785,-0.597785
71,-0.612907,-0.602907
72,-0.637424,-0.647424
73,-0.661312,-0.651312
74,-0.684547,-0.694547
75,-0.707107,-0.697107
76,-0.728969,-0.738969
77,-0.750111,-0.740111
78,-0.770513,-0.780513
79,-0.790155,-0.780155
80,-0.809017,-0.819017
81,-0.827081,-0.817081
82,-0.844328,-0.854328
83,-0.860742,-0.850742
84,-0.876307,-0.886307
85,-0.891007,-0.881007
86,-0.904827,-0.914827
87,-0.917755,-0.907755
88,-0.929776,-0.939776
89,-0.940881,-0.930881
90,-0.951057,-0.961057
91,-0.960294,-0.950294
92,-0.968583,-0.978583
93,-0.975917,-0.965917
94,-0.982287,-0.992287
95,-0.987688,-0.977688
96,-0.992115,-1.00211
97,-0.995562,-0.985562
98,-0.998027,-1.00803
99,-0.999507,-0.989507
