x,y,z
0,0,0.000157093
1,0.0314108,0.0312537
2,0.0627905,0.0629476
3,0.0941083,0.0939512
4,0.125333,0.12549
5,0.156434,0.156277
6,0.187381,0.187538
7,0.218143,0.217986
8,0.24869,0.248847
9,0.278991,0.278834
10,0.309017,0.309174
11,0.338738,0.338581
12,0.368125,0.368282
13,0.397148,0.396991
14,0.425779,0.425936
15,0.45399,0.453833
16,0.481754,0.481911
17,0.509041,0.508884
18,0.535827,0.535984
19,0.562083,0.561926
20,0.587785,0.587942
21,0.612907,0.61275
22,0.637424,0.637581
23,0.661312,0.661155
24,0.684547,0.684704
25,0.707107,0.70695
26,0.728969,0.729126
27,0.750111,0.749954
28,0.770513,0.77067
29,0.790155,0.789998
30,0.809017,0.809174
31,0.827081,0.826923
32,0.844328,0.844485
33,0.860742,0.860585
34,0.876307,0.876464
35,0.891007,0.890849
36,0.904827,0.904984
37,0.917755,0.917598
38,0.929776,0.929934
39,0.940881,0.940724
40,0.951057,0.951214
41,0.960294,0.960137
42,0.968583,0.96874
43,0.975917,0.97576
44,0.982287,0.982444
45,0.987688,0.987531
46,0.992115,0.992272
47,0.995562,0.995405
48,0.998027,0.998184
49,0.999507,0.999349
50,1,1.00016
51,0.999507,0.999349
52,0.998027,0.998184
53,0.995562,0.995405
54,0.992115,0.992272
55,0.987688,0.987531
56,0.982287,0.982444
57,0.975917,0.97576
58,0.968583,0.96874
59,0.960294,0.960137
60,0.951057,0.951214
61,0.940881,0.940724
62,0.929776,0.929934
63,0.917755,0.917598
64,0.904827,0.904984
65,0.891007,0.890849
66,0.876307,0.876464
67,0.860742,0.860585
68,0.844328,0.844485
69,0.827081,0.826923
70,0.809017,0.809174
71,0.790155,0.789998
72,0.770513,0.77067
73,0.750111,0.749954
74,0.728969,0.729126
75,0.707107,0.70695
76,0.684547,0.684704
77,0.661312,0.661155
78,0.637424,0.637581
79,0.612907,0.61275
80,0.587785,0.587942
81,0.562083,0.561926
82,0.535827,0.535984
83,0.509041,0.508884
84,0.481754,0.481911
85,0.45399,0.453833
86,0.425779,0.425936
87,0.397148,0.396991
88,0.368125,0.368282
89,0.338738,0.338581
90,0.309017,0.309174
91,0.278991,0.278834
92,0.24869,0.248847
93,0.218143,0.217986
94,0.187381,0.187538
95,0.156434,0.156277
96,0.125333,0.12549
97,0.0941083,0.0939512
98,0.0627905,0.0629476
99,0.0314108,0.0312537
