x,y,z
0,-59,-61.1
1,-33,-30.9
2,34,31.9
3,0,2.1
4,69,66.9
5,24,26.1
6,-22,-24.1
7,58,60.1
8,62,59.9
9,-36,-33.9
10,5,2.9
11,45,47.1
12,-19,-21.1
13,-73,-70.9
14,61,58.9
15,-9,-6.9
16,95,92.9
17,42,44.1
18,-73,-75.1
19,-64,-61.9
20,91,88.9
21,-96,-93.9
22,2,-0.1
23,53,55.1
24,-8,-10.1
25,82,84.1
26,-79,-81.1
27,16,18.1
28,18,15.9
29,-5,-2.9
30,-53,-55.1
31,26,28.1
32,71,68.9
33,38,40.1
34,-31,-33.1
35,12,14.1
36,-33,-35.1
37,-1,1.1
38,-65,-67.1
39,-6,-3.9
40,3,0.9
41,-89,-86.9
42,22,19.9
43,33,35.1
44,-27,-29.1
45,-36,-33.9
46,41,38.9
47,11,13.1
48,-47,-49.1
49,-32,-29.9
50,47,44.9
51,-56,-53.9
52,-38,-40.1
53,57,59.1
54,-63,-65.1
55,-41,-38.9
56,23,20.9
57,41,43.1
58,29,26.9
59,78,80.1
60,16,13.9
61,-65,-62.9
62,90,87.9
63,-58,-55.9
64,-12,-14.1
65,6,8.1
66,-60,-62.1
67,42,44.1
68,-36,-38.1
69,-52,-49.9
70,-54,-56.1
71,-95,-92.9
72,-10,-12.1
73,29,31.1
74,70,67.9
75,50,52.1
76,-94,-96.1
77,1,3.1
78,93,90.9
79,48,50.1
80,-71,-73.1
81,-77,-74.9
82,-16,-18.1
83,54,56.1
84,56,53.9
85,-60,-57.9
86,66,63.9
87,76,78.1
88,31,28.9
89,8,10.1
90,44,41.9
91,-61,-58.9
92,-74,-76.1
93,23,25.1
94,37,34.9
95,38,40.1
96,18,15.9
97,-18,-15.9
98,29,26.9
99,41,43.1
