x,y,z
0,1.5708,1.5708
1,-2.95319e-16,-2.95319e-16
2,0.588003,0.588003
3,-0.746127,-0.746127
4,0.185696,0.185696
5,-1.42336,-1.42336
6,1.05196,1.05196
7,1.56432,1.56432
8,-1.53262,-1.53262
9,0.231529,0.231529
10,-0.843262,-0.843262
11,-0.0395507,-0.0395507
12,-0.992783,-0.992783
13,1.27903,1.27903
14,0.905981,0.905981
15,0.758008,0.758008
16,-0.587765,-0.587765
17,1.50615,1.50615
18,-0.438275,-0.438275
19,1.04091,1.04091
20,-0.803628,-0.803628
21,0.13539,0.13539
22,0.629985,0.629985
23,1.48238,1.48238
24,-0.0932096,-0.0932096
25,0.0385132,0.0385132
26,-1.06004,-1.06004
27,0.711818,0.711818
28,1.23371,1.23371
29,-1.12569,-1.12569
30,-0.861556,-0.861556
31,-1.56718,-1.56718
32,-1.40234,-1.40234
33,-0.554517,-0.554517
34,0.488201,0.488201
35,-1.33078,-1.33078
36,0.0272099,0.0272099
37,0.434086,0.434086
38,0.570646,0.570646
39,-0.927693,-0.927693
40,1.19752,1.19752
41,-0.232572,-0.232572
42,1.29694,1.29694
43,-0.628718,-0.628718
44,-0.649438,-0.649438
45,-0.93119,-0.93119
46,-0.774925,-0.774925
47,0.161074,0.161074
48,1.53048,1.53048
49,-1.33772,-1.33772
