x,y,z
0,0,0
1,0.0127321,0.0127321
2,0.025462,0.025462
3,0.0381879,0.0381879
4,0.0509076,0.0509076
5,0.063619,0.063619
6,0.0763201,0.0763201
7,0.0890088,0.0890088
8,0.101683,0.101683
9,0.114341,0.114341
10,0.12698,0.12698
11,0.139599,0.139599
12,0.152195,0.152195
13,0.164766,0.164766
14,0.177311,0.177311
15,0.189827,0.189827
16,0.202312,0.202312
17,0.214765,0.214765
18,0.227182,0.227182
19,0.239563,0.239563
20,0.251905,0.251905
21,0.264206,0.264206
22,0.276464,0.276464
23,0.288677,0.288677
24,0.300844,0.300844
25,0.312962,0.312962
26,0.325029,0.325029
27,0.337043,0.337043
28,0.349003,0.349003
29,0.360906,0.360906
30,0.372751,0.372751
31,0.384535,0.384535
32,0.396257,0.396257
33,0.407915,0.407915
34,0.419506,0.419506
35,0.43103,0.43103
36,0.442484,0.442484
37,0.453866,0.453866
38,0.465174,0.465174
39,0.476407,0.476407
40,0.487563,0.487563
41,0.498639,0.498639
42,0.509635,0.509635
43,0.520548,0.520548
44,0.531377,0.531377
45,0.54212,0.54212
46,0.552775,0.552775
47,0.56334,0.56334
48,0.573814,0.573814
49,0.584195,0.584195
50,0.594481,0.594481
51,0.604671,0.604671
52,0.614762,0.614762
53,0.624754,0.624754
54,0.634645,0.634645
55,0.644433,0.644433
56,0.654117,0.654117
57,0.663694,0.663694
58,0.673164,0.673164
59,0.682525,0.682525
60,0.691775,0.691775
61,0.700913,0.700913
62,0.709937,0.709937
63,0.718846,0.718846
64,0.727639,0.727639
65,0.736313,0.736313
66,0.744869,0.744869
67,0.753303,0.753303
68,0.761616,0.761616
69,0.769805,0.769805
70,0.777869,0.777869
71,0.785807,0.785807
72,0.793618,0.793618
73,0.8013,0.8013
74,0.808852,0.808852
75,0.816273,0.816273
76,0.823562,0.823562
77,0.830717,0.830717
78,0.837738,0.837738
79,0.844622,0.844622
80,0.85137,0.85137
81,0.85798,0.85798
82,0.864451,0.864451
83,0.870781,0.870781
84,0.876971,0.876971
85,0.883018,0.883018
86,0.888922,0.888922
87,0.894682,0.894682
88,0.900297,0.900297
89,0.905766,0.905766
90,0.911088,0.911088
91,0.916262,0.916262
92,0.921288,0.921288
93,0.926165,0.926165
94,0.930891,0.930891
95,0.935467,0.935467
96,0.939891,0.939891
97,0.944162,0.944162
98,0.948281,0.948281
99,0.952245,0.952245
