x,y,z
0,-88.5,-70.4775
1,-146.85,-145.332
2,-57.435,-69.7289
3,24.9315,13.6475
4,165.386,157.2
5,202.965,203.881
6,91.0305,93.7994
7,65.3543,71.0007
8,110.271,111.671
9,28.086,29.3878
10,-27.7682,-30.3261
11,20.1033,19.6586
12,10.2746,8.17013
13,-110.26,-109.158
14,-35.9507,-36.6259
15,13.1102,14.8563
16,178.492,177.667
17,251.475,252.67
18,60.0272,58.687
19,-180.855,-179.897
20,-98.4567,-99.7484
21,-143.789,-142.635
22,-96.0943,-97.1998
23,60.0699,61.3114
24,111.733,110.612
25,209.865,211.037
26,45.3113,44.1231
27,-52.0765,-50.9367
28,-57.4709,-58.6542
29,-39.4721,-38.3076
30,-88.4368,-89.5958
31,-34.5972,-33.4208
32,121.505,120.345
33,211.414,212.582
34,113.152,111.983
35,15.6191,16.7823
36,-100.21,-101.379
37,-121.103,-119.937
38,-170.587,-171.753
39,-123.984,-122.816
40,-29.5301,-30.696
41,-91.5928,-90.426
42,-50.034,-51.201
43,49.4183,50.5845
44,43.8805,42.7136
45,-35.3824,-34.2158
46,-3.74895,-4.9155
47,33.6056,34.7724
48,-31.2845,-32.451
49,-102.576,-101.41
50,-23.5632,-24.7299
51,-48.3738,-47.2072
52,-96.0732,-97.2399
53,8.84372,10.0104
54,-27.128,-28.2946
55,-96.647,-95.4803
56,-55.5349,-56.7016
57,58.3998,59.5665
58,141.061,139.894
59,237.127,238.294
60,200.203,199.037
61,-19.5527,-18.386
62,-6.62983,-7.79649
63,-82.5612,-81.3945
64,-104.839,-106.006
65,-56.7867,-55.62
66,-89.5617,-90.7283
67,-1.44583,-0.279163
68,-1.85342,-3.02008
69,-79.1713,-78.0046
70,-166.976,-168.143
71,-278.671,-277.505
72,-221.353,-222.519
73,-32.7851,-31.6184
74,201.748,200.581
75,316.594,317.76
76,86.2044,85.0377
77,-93.6314,-92.4648
78,-15.2172,-16.3839
79,111.44,112.607
80,25.2142,24.0476
81,-154.628,-153.462
82,-209.22,-210.386
83,-56.3647,-55.198
84,147.531,146.364
85,106.103,107.269
86,127.194,126.028
87,190.252,191.419
88,179.461,178.294
89,95.2556,96.4223
90,63.1046,61.938
91,-79.2383,-78.0716
92,-236.025,-237.192
93,-177.584,-176.418
94,1.77208,0.605417
95,165.5,166.667
96,207.987,206.82
97,102.485,103.652
98,31.4419,30.2752
99,34.5949,35.7615
