x,y
0,0
1,1.08979
2,0.292893
3,1.63099
4,-1
5,0.216773
6,-1.70711
7,-0.324423
8,6.12323e-16
9,0.324423
10,1.70711
11,-0.216773
12,1
13,-1.63099
14,-0.292893
15,-1.08979
16,-2.20436e-15
17,1.08979
18,0.292893
19,1.63099
20,-1
21,0.216773
22,-1.70711
23,-0.324423
24,-1.71574e-15
25,0.324423
26,1.70711
27,-0.216773
28,1
29,-1.63099
30,-0.292893
31,-1.08979
32,-4.40873e-15
33,1.08979
34,0.292893
35,1.63099
36,-1
37,0.216773
38,-1.70711
39,-0.324423
40,3.06162e-15
41,0.324423
42,1.70711
43,-0.216773
44,1
45,-1.63099
46,-0.292893
47,-1.08979
48,4.92335e-16
49,1.08979
50,0.292893
51,1.63099
52,-1
53,0.216773
54,-1.70711
55,-0.324423
56,1.49444e-14
57,0.324423
58,1.70711
59,-0.216773
60,1
61,-1.63099
62,-0.292893
63,-1.08979
64,-8.81746e-15
65,1.08979
66,0.292893
67,1.63099
68,-1
69,0.216773
70,-1.70711
71,-0.324423
72,1.61691e-14
73,0.324423
74,1.70711
75,-0.216773
76,1
77,-1.63099
78,-0.292893
79,-1.08979
80,-2.52327e-14
81,1.08979
82,0.292893
83,1.63099
84,-1
85,0.216773
86,-1.70711
87,-0.324423
88,-3.92258e-15
89,0.324423
90,1.70711
91,-0.216773
92,1
93,-1.63099
94,-0.292893
95,-1.08979
96,9.84669e-16
97,1.08979
98,0.292893
99,1.63099
100,-1
101,0.216773
102,-1.70711
103,-0.324423
104,6.12509e-14
105,0.324423
106,1.70711
107,-0.216773
108,1
109,-1.63099
110,-0.292893
111,-1.08979
112,-3.67468e-14
113,1.08979
114,0.292893
115,1.63099
116,-1
117,0.216773
118,-1.70711
119,-0.324423
120,-1.56841e-14
121,0.324423
122,1.70711
123,-0.216773
124,1
125,-1.63099
126,-0.292893
127,-1.08979
128,-1.76349e-14
129,1.08979
130,0.292893
131,1.63099
132,-1
133,0.216773
134,-1.70711
135,-0.324423
136,2.10676e-14
137,0.324423
138,1.70711
139,-0.216773
140,1
141,-1.63099
142,-0.292893
143,-1.08979
144,-6.95773e-14
145,1.08979
146,0.292893
147,1.63099
148,-1
149,0.216773
150,-1.70711
151,-0.324423
152,9.76004e-16
153,0.324423
154,1.70711
155,-0.216773
156,1
157,-1.63099
158,-0.292893
159,-1.08979
160,-5.04654e-14
161,1.08979
162,0.292893
163,1.63099
164,-1
165,0.216773
166,-1.70711
167,-0.324423
168,5.19386e-14
169,0.324423
170,1.70711
171,-0.216773
172,1
173,-1.63099
174,-0.292893
175,-1.08979
176,-3.13534e-14
177,1.08979
178,0.292893
179,1.63099
180,-1
181,0.216773
182,-1.70711
183,-0.324423
184,-1.07856e-14
185,0.324423
186,1.70711
187,-0.216773
188,1
189,-1.63099
190,-0.292893
191,-1.08979
192,1.96934e-15
193,1.08979
194,0.292893
195,1.63099
196,-1
197,0.216773
198,-1.70711
199,-0.324423
200,4.01771e-14
201,0.324423
202,1.70711
203,-0.216773
204,1
205,-1.63099
206,-0.292893
207,-1.08979
208,-1.6366e-13
209,1.08979
210,0.292893
211,1.63099
212,-1
213,0.216773
214,-1.70711
215,-0.324423
216,-2.25471e-14
217,0.324423
218,1.70711
219,-0.216773
220,1
221,-1.63099
222,-0.292893
223,-1.08979
224,-7.34937e-14
225,1.08979
226,0.292893
227,1.63099
228,-1
229,0.216773
230,-1.70711
231,-0.324423
232,-6.18981e-18
233,0.324423
234,1.70711
235,-0.216773
236,1
237,-1.63099
238,-0.292893
239,-1.08979
240,-1.17492e-14
241,1.08979
242,0.292893
243,1.63099
244,-1
245,0.216773
246,-1.70711
247,-0.324423
248,5.09564e-14
249,0.324423
250,1.70711
251,-0.216773
252,1
253,-1.63099
254,-0.292893
255,-1.08979
256,-3.52698e-14
257,1.08979
258,0.292893
259,1.63099
260,-1
261,0.216773
262,-1.70711
263,-0.324423
264,7.34974e-14
265,0.324423
266,1.70711
267,-0.216773
268,1
269,-1.63099
270,-0.292893
271,-1.08979
272,-8.72122e-14
273,1.08979
274,0.292893
275,1.63099
276,-1
277,0.216773
278,-1.70711
279,-0.324423
280,1.07732e-14
281,0.324423
282,1.70711
283,-0.216773
284,1
