x,y
0,0
1,0.119415
2,0.382629
3,0.576569
4,0.388428
5,-0.0987396
6,-0.50206
7,-0.572906
8,-0.329315
9,0.0836487
10,0.470047
11,0.590332
12,0.345291
13,-0.100098
14,-0.478119
15,-0.57402
16,-0.347534
17,0.0901337
18,0.481476
19,0.581299
20,0.340897
21,-0.0942841
22,-0.472931
23,-0.584778
24,-0.344528
25,0.096817
26,0.47554
27,0.579697
28,0.345245
29,-0.0928345
30,-0.480545
31,-0.578445
32,-0.344254
33,0.0923004
34,0.478088
35,0.580948
36,0.343796
37,-0.0953522
38,-0.474777
39,-0.582947
40,-0.343994
41,0.0949554
42,0.476135
43,0.580841
44,0.343979
45,-0.0930176
46,-0.479355
47,-0.579086
48,-0.344772
49,0.0932465
50,0.477875
51,0.580292
52,0.344437
53,-0.0952606
54,-0.475449
55,-0.582504
56,-0.343719
57,0.0943756
58,0.476349
59,0.581253
60,0.343521
61,-0.0930023
62,-0.478928
63,-0.579376
64,-0.344894
65,0.0936584
66,0.477737
67,0.580078
68,0.344818
69,-0.0953064
70,-0.475739
71,-0.582245
72,-0.343643
73,0.0940704
74,0.476486
75,0.58139
76,0.343246
77,-0.0929718
78,-0.478745
79,-0.579605
80,-0.344955
81,0.0938721
82,0.4776
83,0.579956
84,0.345001
85,-0.0953674
86,-0.475891
87,-0.582123
88,-0.343613
89,0.0939178
90,0.476608
91,0.581467
92,0.343094
93,-0.0929413
94,-0.478668
95,-0.579712
96,-0.344971
97,0.0939636
98,0.477509
99,0.579941
100,0.345093
101,-0.0953827
102,-0.475952
103,-0.582016
104,-0.343613
105,0.0938263
106,0.476669
107,0.581512
108,0.343033
109,-0.0928802
110,-0.478577
111,-0.579773
112,-0.344955
113,0.0940247
114,0.477478
115,0.57991
116,0.345184
117,-0.0954132
118,-0.475983
119,-0.581955
120,-0.343643
121,0.0937805
122,0.476685
123,0.581497
124,0.342987
125,-0.092865
126,-0.478577
127,-0.579819
128,-0.344955
129,0.0940552
130,0.477432
131,0.57991
132,0.3452
133,-0.0954437
134,-0.475998
135,-0.58194
136,-0.343643
137,0.0937958
138,0.47673
139,0.581512
140,0.342987
141,-0.0928497
142,-0.478561
143,-0.579834
144,-0.344925
145,0.0940704
146,0.477417
147,0.579926
148,0.3452
149,-0.0954437
150,-0.476013
151,-0.581924
152,-0.343643
153,0.0937805
154,0.47673
155,0.581512
156,0.342972
157,-0.0928497
158,-0.478577
159,-0.579834
160,-0.34494
161,0.0940704
162,0.477417
163,0.57991
164,0.345215
165,-0.0954437
166,-0.475983
167,-0.581924
168,-0.343658
169,0.09375
170,0.476746
171,0.581512
172,0.342972
173,-0.0928345
174,-0.478577
175,-0.579834
176,-0.344925
177,0.0940552
178,0.477402
179,0.57991
180,0.345215
181,-0.095459
182,-0.475998
183,-0.581909
184,-0.343658
185,0.0937653
186,0.476761
187,0.581512
188,0.342957
189,-0.0928497
190,-0.478561
191,-0.579865
192,-0.34491
193,0.0940704
194,0.477402
195,0.57988
196,0.34523
197,-0.095459
198,-0.476013
199,-0.581909
200,-0.343643
201,0.0937653
202,0.476746
203,0.581512
204,0.342941
205,-0.092865
206,-0.478592
207,-0.579849
208,-0.344925
209,0.0940857
210,0.477417
211,0.57991
212,0.345215
213,-0.095459
214,-0.476013
215,-0.581909
216,-0.343643
217,0.0937805
218,0.476746
219,0.581512
220,0.342957
221,-0.092865
222,-0.478577
223,-0.579849
224,-0.34494
225,0.0940857
226,0.477417
227,0.57991
228,0.345215
229,-0.0954437
230,-0.475998
231,-0.581909
232,-0.343658
233,0.0937653
234,0.476761
235,0.581512
236,0.342957
237,-0.092865
238,-0.478577
239,-0.579849
240,-0.34494
241,0.0940857
242,0.477417
243,0.57991
244,0.345215
245,-0.0954437
246,-0.475998
247,-0.581909
248,-0.343658
249,0.0937653
250,0.476761
251,0.581512
252,0.342957
253,-0.092865
254,-0.478577
255,-0.579849
256,-0.34494
257,0.0940857
258,0.477417
259,0.57991
260,0.345215
261,-0.0954437
262,-0.475998
263,-0.581909
264,-0.343658
265,0.0937653
266,0.476761
267,0.581512
268,0.342957
269,-0.092865
270,-0.478577
271,-0.579849
272,-0.34494
273,0.0940857
274,0.477417
275,0.57991
276,0.345215
277,-0.0954437
278,-0.475998
279,-0.581909
280,-0.343658
281,0.0937653
282,0.476761
283,0.581512
284,0.342957
285,-0.092865
286,-0.478577
287,-0.579849
288,-0.34494
289,0.0940857
290,0.477417
291,0.57991
292,0.345215
293,-0.0954437
294,-0.475998
295,-0.581909
296,-0.343658
297,0.0937653
298,0.476761
299,0.581512
300,0.342957
301,-0.092865
302,-0.478577
303,-0.579849
304,-0.34494
305,0.0940857
306,0.477417
