x,y
0,-6.91869e-11,0
1,-6.36802e-11,8.40441e-11
2,4.53815e-12,-9.40158e-12
3,3.30846e-14,-2.87595e-11
4,-1.63174e-10,-4.9486e-11
5,-8.50193e-11,6.72848e-11
6,-4.30149e-11,1.28592e-10
7,5.12237e-11,3.48926e-11
8,3.81115e-11,-3.57062e-11
9,-9.93212e-11,1.09099e-12
10,-2.53901e-11,-6.68827e-12
11,-1.61071e-12,1.86403e-11
12,-6.01272e-11,-3.87985e-11
13,-4.77902e-11,-7.575e-13
14,-5.38158e-11,8.17635e-11
15,9.444e-12,-5.78725e-11
16,-2.60487e-11,-7.17478e-11
17,-1.5663e-10,-2.27248e-11
18,-4.91192e-11,5.06589e-11
19,7.51665e-12,1.29989e-11
20,-1.32916e-10,-1.31003e-10
21,-2.24909e-10,-5.10579e-12
22,-2.84235e-10,2.64037e-10
23,8.64155e-11,3.17076e-10
24,1.48223e-10,1.56381e-10
25,8.67098e-11,-2.9841e-12
26,8.32054e-11,-1.72993e-11
27,3.45459e-11,3.9084e-11
28,1.025e-11,-8.24499e-11
29,-4.84282e-11,-3.12942e-11
30,-3.5508e-11,4.69109e-11
31,1.74956e-11,-6.17361e-12
32,3.46307e-11,3.30329e-11
33,-5.18205e-11,-2.63988e-11
34,-1.97709e-12,4.88313e-12
35,-2.08016e-11,7.18109e-11
36,3.50613e-11,-1.93353e-11
37,-2.07101e-12,-5.13903e-11
38,-7.56952e-11,5.69374e-11
39,5.06353e-11,-1.44123e-11
40,4.22444e-11,1.03808e-11
41,-3.78306e-11,-1.01621e-10
42,-4.64007e-11,-3.80804e-11
43,-6.04872e-11,7.53714e-11
44,1.8205e-11,1.25583e-11
45,3.94689e-11,1.35294e-11
46,-7.16849e-11,-4.73887e-11
47,-4.18288e-11,3.82968e-11
48,3.25708e-11,2.63236e-12
49,-1.36593e-11,-8.85586e-11
50,-2.26059e-11,-1.87914e-11
51,-9.19342e-11,2.88177e-11
52,-2.62945e-11,-1.45369e-11
53,1.76033e-11,2.97705e-11
54,-2.50739e-11,-8.73974e-11
55,-7.84044e-11,3.66025e-11
56,-1.6591e-11,6.56822e-11
57,-5.9394e-11,-3.4436e-11
58,-1.02099e-10,-8.10906e-11
59,-1.00653e-10,-2.53093e-11
60,5.83378e-12,-2.93822e-11
61,2.68969e-11,4.76924e-11
62,-2.70797e-10,4.02514e-11
63,1.43553e-10,5.14305e-11
64,-7.44724e-11,7.75542e-11
65,-4.09219e-11,-5.45287e-11
66,-1.88198e-11,-1.14682e-10
67,-7.55174e-11,-1.75246e-11
68,-2.10765e-11,-3.66644e-12
69,-1.01847e-11,1.8968e-11
70,-9.06697e-11,-7.97303e-11
71,-1.44345e-10,-2.13519e-11
72,-2.14476e-10,1.35183e-10
73,1.08009e-10,8.99033e-11
74,2.25207e-11,6.77431e-12
75,-7.0544e-11,-2.37257e-10
76,-2.19037e-10,1.53054e-11
77,-8.12712e-11,6.05702e-11
78,5.99589e-11,-1.4219e-10
79,-1.8539e-10,-2.35181e-10
80,-4.08198e-10,-4.79152e-11
81,-1.60252e-10,1.2885e-10
82,4.55629e-11,-6.75195e-11
83,-3.2076e-10,-6.47418e-10
84,-1.17364e-09,-3.25317e-10
85,-1.44502e-09,7.47156e-10
86,-6.05198e-10,1.69698e-09
87,6.19634e-10,1.42776e-09
88,1.00534e-09,4.8056e-10
89,5.45166e-10,-1.66589e-10
90,5.3431e-11,-7.46722e-11
91,1.24275e-10,2.69102e-10
92,3.15397e-10,2.78838e-10
93,2.25079e-10,-1.44335e-10
94,-3.2228e-11,-1.91719e-11
95,2.37845e-11,2.00001e-10
96,1.37977e-10,2.07312e-10
97,2.58058e-10,5.62558e-11
98,6.02576e-11,-1.23422e-13
99,2.02622e-11,4.40398e-12
100,1.65087e-10,1.77371e-10
101,9.27152e-11,8.8604e-11
102,2.27113e-10,-7.42361e-11
103,1.92008e-10,1.5455e-10
104,-3.04645e-13,9.37291e-11
105,4.75325e-10,-2.01373e-10
106,-1.96201e-10,-3.4872e-10
107,8.23623e-11,7.0983e-11
108,-6.76961e-11,2.00088e-10
109,-9.09295e-12,-6.90442e-11
110,1.72921e-10,-5.49435e-11
111,-4.9718e-11,5.44519e-12
112,-7.62235e-12,-3.05827e-11
113,9.49489e-11,9.5615e-11
114,-1.05715e-11,-5.8028e-12
115,-5.29332e-12,-8.18158e-11
116,-8.36553e-12,6.36622e-11
117,-5.25262e-11,4.89084e-11
118,1.37785e-10,7.50161e-12
119,-9.32923e-11,-2.36766e-11
120,-4.70253e-11,8.43542e-11
121,7.61375e-11,1.45175e-10
122,3.79898e-11,-1.99154e-11
123,6.54072e-11,1.30237e-11
124,5.10032e-11,4.01424e-11
125,9.80702e-11,4.93979e-12
126,4.63125e-11,-4.10864e-11
127,-1.00884e-10,-1.06555e-12
128,4.00591e-11,1.58514e-12
129,2.65421e-11,1.24467e-10
130,7.06331e-11,-2.38344e-11
131,1.2584e-10,-2.42832e-11
132,-8.88654e-11,1.6724e-10
133,7.17961e-11,-5.46083e-11
134,1.34875e-10,-3.95875e-11
135,-5.44733e-11,6.14071e-11
136,-1.92253e-11,-5.50885e-11
137,7.38076e-11,7.9988e-11
138,-4.22304e-11,-3.00792e-11
139,4.83158e-11,-4.75231e-11
140,-6.90825e-11,9.46874e-11
141,2.67102e-11,-5.00416e-11
142,1.03438e-10,2.60894e-11
143,-1.0409e-10,3.56038e-11
144,2.91933e-11,2.74312e-11
145,1.0697e-10,1.11029e-10
146,-1.81464e-11,-1.05253e-10
147,1.11777e-10,-1.69828e-11
148,-8.65017e-11,1.82618e-11
149,-1.26879e-11,-4.33718e-11
150,1.02923e-10,9.09276e-11
151,-8.19351e-11,-4.89433e-11
152,6.88087e-11,-6.14647e-11
153,-2.52873e-11,1.1617e-10
154,-5.45373e-11,-8.60521e-11
155,4.47402e-11,6.53852e-14
156,-1.04401e-10,1.37235e-10
157,1.28606e-11,-9.94956e-11
158,7.70328e-11,6.89002e-11
159,-1.58419e-10,-1.67402e-11
160,-6.07736e-12,-4.56431e-11
161,-1.92366e-11,1.35305e-10
162,-1.27974e-10,-6.64153e-11
163,-1.56767e-10,-7.65801e-11
164,-2.08135e-10,3.37635e-10
165,2.58356e-11,1.55708e-10
166,1.98511e-10,3.31882e-10
167,1.79551e-10,-9.51405e-11
168,2.04155e-10,-3.51228e-11
169,-1.47511e-10,1.5588e-10
170,5.05151e-11,-3.43392e-11
171,1.69859e-10,5.7969e-11
172,-8.50005e-11,-7.39521e-11
173,1.61511e-10,-7.35471e-11
174,-1.42337e-11,2.40259e-10
175,-1.9088e-10,-2.53968e-10
176,5.06351e-12,1.73205e-10
177,9.60512e-11,1.34832e-10
178,5.88982e-11,5.06013e-11
179,1.24813e-10,8.45844e-11
180,-1.69782e-10,-1.44994e-10
181,-1.06361e-10,2.02361e-10
182,1.66625e-10,1.44134e-10
183,-4.74192e-11,2.25674e-11
184,1.23892e-10,-3.86918e-11
185,-7.06255e-11,1.68979e-10
186,-3.58129e-11,-5.73794e-11
187,1.43366e-10,8.23152e-11
188,-5.7349e-11,4.05989e-11
189,7.48388e-11,-7.44714e-11
190,7.94675e-11,1.89353e-10
191,-9.74905e-11,-3.3023e-11
192,1.45737e-10,-6.11415e-11
193,4.64859e-11,2.31713e-10
194,3.74771e-11,6.2643e-11
195,1.38456e-10,2.0154e-10
196,-9.24256e-11,2.42544e-10
197,3.222e-10,-2.92259e-10
198,5.58689e-11,9.41997e-11
199,-3.15907e-11,-1.18781e-10
200,2.23646e-10,-3.84346e-11
201,-3.64266e-11,7.73105e-11
202,-5.28144e-11,-1.88059e-10
203,1.25631e-10,9.49836e-11
204,-8.98621e-11,4.97735e-12
205,9.55795e-11,-2.4855e-11
206,4.57252e-11,2.2596e-10
207,-5.2377e-11,-5.62851e-11
208,1.05927e-10,-1.2003e-10
209,-1.31427e-10,2.5715e-10
210,7.36708e-11,-2.07233e-10
211,-4.14939e-11,3.41673e-10
212,-3.40394e-13,6.99697e-13
213,2.78524e-11,-5.24752e-11
214,2.8485e-11,1.37812e-10
215,4.10405e-12,1.01752e-10
216,7.11984e-11,1.73618e-10
217,-2.99123e-11,8.77733e-11
218,1.38677e-10,4.59429e-10
219,7.0374e-10,2.1471e-11
220,-3.92422e-10,-1.1831e-10
221,2.68537e-10,-3.12237e-10
222,1.61608e-10,6.4861e-10
223,-6.01703e-10,9.25989e-11
224,2.56174e-10,-5.4273e-10
225,4.69166e-10,1.31726e-09
226,1.38365e-09,-5.16696e-10
227,-2.87237e-10,-2.78539e-10
228,1.36969e-10,-8.01055e-10
229,2.33368e-10,8.83541e-11
230,-2.59188e-10,-5.0107e-11
231,1.38944e-10,-3.38165e-10
232,7.33034e-11,-9.23981e-11
233,-1.37222e-10,-2.40066e-10
234,2.64488e-10,2.02125e-11
235,-1.1196e-10,1.72942e-10
236,-3.58369e-11,-1.90978e-10
237,1.19663e-10,-7.86992e-11
238,-2.08667e-10,1.40925e-11
239,1.01761e-10,-3.22287e-11
240,9.83449e-11,3.49826e-11
241,-1.35059e-10,-3.03384e-10
242,-1.18187e-10,-1.80826e-10
243,-1.34439e-10,7.87176e-11
244,-9.57938e-11,-4.70781e-11
245,1.42327e-10,7.08089e-11
246,-9.69973e-11,2.96158e-11
247,1.4384e-12,-1.4928e-10
248,9.20548e-11,4.74925e-11
249,-8.36478e-11,-3.14761e-11
250,7.98466e-11,1.32357e-10
251,-2.31408e-11,1.26828e-10
252,-6.09632e-11,-1.16205e-10
253,7.92701e-11,-4.07122e-11
254,-5.53766e-11,-1.19282e-12
255,7.70515e-11,-8.26489e-11
256,4.2043e-11,9.79643e-11
257,-1.0467e-10,3.54759e-11
