x,y
0,-2.93991,0
1,0.29887,0.000560017
2,0.299779,0.000134924
3,0.299097,-0.000582955
4,0.299094,0.000746249
5,0.298911,-0.000188281
6,0.298743,-0.000770923
7,0.299383,-9.40859e-05
8,0.299434,-0.000301167
9,0.29902,-0.00020036
10,0.299317,0.000446512
11,0.299179,-0.000421875
12,0.298878,-0.00069055
13,0.299345,-0.000147668
14,0.299325,-0.000536407
15,0.299219,-0.000541279
16,0.299527,0.000674245
17,0.299248,-0.000973836
18,0.300003,-0.000990436
19,0.2982,-0.00101038
20,0.299579,-0.000728995
21,0.299151,-5.93526e-05
22,0.298929,-0.000560925
23,0.299107,-0.00052597
24,0.29902,-0.00060039
25,0.299189,-0.000831451
26,0.299348,-0.00065676
27,0.299271,-0.000299391
28,0.299164,-0.000461278
29,0.299021,-0.0004044
30,0.298868,-0.000541392
31,0.299185,-0.000872291
32,0.299695,-0.000730543
33,0.299414,2.37558e-05
34,0.298812,-0.000164607
35,0.299278,-0.000243466
36,0.299164,-0.00163076
37,0.299894,-0.00093365
38,0.298797,-0.000380628
39,0.299041,-0.00062524
40,0.299067,-0.00101108
41,0.299137,-0.00111218
42,0.299487,-0.000812363
43,0.299385,-0.00066989
44,0.299079,-0.000675672
45,0.299104,-0.00100521
46,0.299315,-0.00108081
47,0.299191,-0.0010173
48,0.299028,-0.000805306
49,0.299208,-0.000667609
50,0.299402,-0.00069213
51,0.299152,-0.00102566
52,0.299178,-0.000547143
53,0.299142,-0.000833692
54,0.29963,-0.000995282
55,0.299045,-0.0011969
56,0.299335,-0.000873147
57,0.299287,-0.00100297
58,0.299163,-0.001088
59,0.299335,-0.00100236
60,0.299224,-0.00119736
61,0.299105,-0.00102426
62,0.299367,-0.00101634
63,0.299318,-0.00114848
64,0.298929,-0.00104818
65,0.299157,-0.00104369
66,0.299375,-0.00157611
67,0.299357,-0.00153088
68,0.299322,-0.001273
69,0.299092,-0.00119874
70,0.298787,-0.00153946
71,0.299698,-0.0012869
72,0.299519,-0.00107622
73,0.2992,-0.000942985
74,0.298852,-0.0012831
75,0.299062,-0.00152417
76,0.299371,-0.00134627
77,0.299644,-0.00135689
78,0.299262,-0.00111882
79,0.299058,-0.00130195
80,0.29929,-0.00163458
81,0.299324,-0.00162292
82,0.299378,-0.00127011
83,0.299301,-0.00147382
84,0.299188,-0.00181017
85,0.299154,-0.00188347
86,0.299193,-0.00163303
87,0.298995,-0.00165472
88,0.29936,-0.00152261
89,0.299215,-0.00142766
90,0.299448,-0.00142616
91,0.299429,-0.00151751
92,0.299412,-0.00162228
93,0.299291,-0.001828
94,0.299448,-0.00163185
95,0.299004,-0.00153037
96,0.299254,-0.0015746
97,0.299253,-0.00157587
98,0.299285,-0.00182767
99,0.299407,-0.00182854
100,0.299352,-0.00172773
101,0.299456,-0.00168227
102,0.299443,-0.00156259
103,0.299497,-0.00133558
104,0.299469,-0.00183797
105,0.299568,-0.00225213
106,0.299351,-0.00189191
107,0.299569,-0.00148282
108,0.299135,-0.00146134
109,0.298992,-0.00182809
110,0.299315,-0.00220327
111,0.29943,-0.00201479
112,0.299373,-0.00194442
113,0.299533,-0.00162319
114,0.298898,-0.00229496
115,0.299171,-0.00221786
116,0.299543,-0.00192825
117,0.299315,-0.00174853
118,0.299083,-0.00182619
119,0.299068,-0.00211864
120,0.299177,-0.00206312
121,0.299149,-0.00202003
122,0.299459,-0.00219731
123,0.29941,-0.00228368
124,0.299412,-0.00222973
125,0.299154,-0.0020665
126,0.299193,-0.00211604
127,0.299236,-0.00215292
128,0.299287,-0.00218284
129,0.29929,-0.00222104
130,0.299176,-0.0019511
131,0.299249,-0.00236935
132,0.299178,-0.00206506
133,0.299302,-0.00250332
134,0.299278,-0.00228316
135,0.299425,-0.00240042
136,0.299418,-0.00231932
137,0.299512,-0.0022358
138,0.29934,-0.00237629
139,0.299262,-0.00225647
140,0.299292,-0.00223113
141,0.299616,-0.00252948
142,0.29937,-0.002381
143,0.299178,-0.0023544
144,0.29917,-0.00239519
145,0.299229,-0.00235745
146,0.299301,-0.00249989
147,0.299338,-0.00249065
148,0.299118,-0.00250849
149,0.299105,-0.00262309
150,0.299831,-0.00314204
151,0.299286,-0.00274815
152,0.299496,-0.00265781
153,0.299241,-0.00279702
154,0.299631,-0.00294548
155,0.2996,-0.00256009
156,0.299393,-0.00248106
157,0.299179,-0.00269736
158,0.299389,-0.00266477
159,0.299504,-0.00263008
160,0.29952,-0.00294671
161,0.29929,-0.00273796
162,0.299103,-0.00258275
163,0.299159,-0.00269192
164,0.299325,-0.00273114
165,0.29933,-0.00301135
166,0.29945,-0.00281057
167,0.299433,-0.00264903
168,0.298983,-0.0026883
169,0.299394,-0.00255492
170,0.29914,-0.00299321
171,0.299566,-0.00299461
172,0.299172,-0.00296804
173,0.299466,-0.00287448
174,0.299087,-0.00292362
175,0.298942,-0.00293525
176,0.299376,-0.00300486
177,0.299398,-0.00314015
178,0.29939,-0.00262472
179,0.299824,-0.00273136
180,0.299537,-0.00338757
181,0.299174,-0.00335011
182,0.299433,-0.00316903
183,0.299368,-0.00317289
184,0.299149,-0.00337483
185,0.299386,-0.00331694
186,0.299324,-0.0033238
187,0.299086,-0.00352413
188,0.299599,-0.00349091
189,0.299543,-0.00388049
190,0.299646,-0.00276092
191,0.299545,-0.00316487
192,0.299467,-0.00361379
193,0.299372,-0.00332919
194,0.29955,-0.00345621
195,0.299644,-0.00344861
196,0.299719,-0.00335511
197,0.299632,-0.00364099
198,0.299209,-0.00361542
199,0.299203,-0.00322448
200,0.299716,-0.00323376
201,0.299652,-0.00344708
202,0.299483,-0.00316018
203,0.299573,-0.00332547
204,0.299412,-0.00339051
205,0.299449,-0.00335775
206,0.299598,-0.00366211
207,0.299355,-0.00343981
208,0.299635,-0.00369177
209,0.299476,-0.00336738
210,0.29951,-0.003662
211,0.299484,-0.00382564
212,0.299419,-0.00359632
213,0.299533,-0.00347736
214,0.29953,-0.00354885
215,0.299373,-0.0035075
216,0.299735,-0.00347953
217,0.300061,-0.0037477
218,0.299521,-0.00390202
219,0.299543,-0.00356739
220,0.299874,-0.00366093
221,0.299519,-0.00356928
222,0.299396,-0.00350642
223,0.29956,-0.00375464
224,0.299571,-0.0038043
225,0.299689,-0.00359411
226,0.299414,-0.00378627
227,0.299801,-0.00384768
228,0.299473,-0.00381777
229,0.299368,-0.00405136
230,0.299253,-0.0040106
231,0.299603,-0.00381699
232,0.299751,-0.00389174
233,0.299548,-0.00375644
234,0.299762,-0.00359441
235,0.299738,-0.00386751
236,0.29962,-0.00383857
237,0.299707,-0.00372512
238,0.299728,-0.00364784
239,0.299567,-0.00373725
240,0.299526,-0.00378974
241,0.299485,-0.00392546
242,0.299479,-0.00381994
243,0.299733,-0.00388603
244,0.299713,-0.0038179
245,0.299429,-0.00394079
246,0.299921,-0.00402735
247,0.299615,-0.00455995
248,0.299305,-0.00416282
249,0.299557,-0.00382919
250,0.299501,-0.00412315
251,0.299371,-0.00407532
252,0.299544,-0.00400067
253,0.29955,-0.00421016
