x,y
0,3,0
1,3.00015,-0.00376937
2,3.0006,-0.00753553
3,3.00134,-0.0112952
4,3.00239,-0.0150452
5,3.00373,-0.0187823
6,3.00538,-0.022503
7,3.00733,-0.0262042
8,3.00958,-0.0298825
9,3.01213,-0.0335343
10,3.01498,-0.0371562
11,3.01815,-0.0407447
12,3.02162,-0.0442961
13,3.0254,-0.0478067
14,3.02949,-0.0512727
15,3.03389,-0.0546902
16,3.03861,-0.0580552
17,3.04364,-0.0613634
18,3.049,-0.0646107
19,3.05468,-0.0677926
20,3.06068,-0.0709045
21,3.06702,-0.0739418
22,3.07368,-0.0768995
23,3.08068,-0.0797724
24,3.08802,-0.0825555
25,3.0957,-0.085243
26,3.10372,-0.0878294
27,3.11209,-0.0903086
28,3.12082,-0.0926745
29,3.1299,-0.0949205
30,3.13935,-0.0970399
31,3.14916,-0.0990257
32,3.15934,-0.10087
33,3.1699,-0.102566
34,3.18084,-0.104105
35,3.19217,-0.105479
36,3.20388,-0.106678
37,3.21599,-0.107695
38,3.22851,-0.108517
39,3.24142,-0.109137
40,3.25476,-0.109542
41,3.26851,-0.109723
42,3.28268,-0.109666
43,3.29728,-0.109359
44,3.31232,-0.108791
45,3.32781,-0.107946
46,3.34373,-0.106812
47,3.36012,-0.105372
48,3.37696,-0.103611
49,3.39427,-0.101513
50,3.41205,-0.0990603
51,3.43031,-0.0962344
52,3.44905,-0.0930163
53,3.46828,-0.089386
54,3.48801,-0.0853224
55,3.50823,-0.0808033
56,3.52896,-0.0758055
57,3.5502,-0.0703045
58,3.57195,-0.0642747
59,3.59422,-0.0576893
60,3.617,-0.0505201
61,3.64031,-0.0427375
62,3.66415,-0.0343106
63,3.6885,-0.025207
64,3.71339,-0.0153926
65,3.73879,-0.00483191
66,3.76472,0.00651219
67,3.79117,0.0186786
68,3.81813,0.0317078
69,3.84561,0.0456423
70,3.87358,0.060526
71,3.90204,0.076405
72,3.93097,0.0933271
73,3.96037,0.111342
74,3.99022,0.130501
75,4.02049,0.150857
76,4.05117,0.172466
77,4.08222,0.195384
78,4.11362,0.219671
79,4.14534,0.245385
80,4.17733,0.272589
81,4.20955,0.301345
82,4.24195,0.331718
83,4.27449,0.363772
84,4.30709,0.397572
85,4.3397,0.433183
86,4.37224,0.470672
87,4.40464,0.510103
88,4.43681,0.551539
89,4.46865,0.595043
90,4.50006,0.640673
91,4.53093,0.688487
92,4.56114,0.738536
93,4.59057,0.790869
94,4.61907,0.845526
95,4.6465,0.902544
96,4.67271,0.961948
97,4.69753,1.02376
98,4.72078,1.08798
99,4.74229,1.1546
100,4.76187,1.22362
101,4.77932,1.29498
102,4.79444,1.36866
103,4.80703,1.44457
104,4.81688,1.52264
105,4.82378,1.60276
106,4.82752,1.6848
107,4.8279,1.76862
108,4.82472,1.85404
109,4.81778,1.94087
110,4.80692,2.02891
111,4.79195,2.1179
112,4.77274,2.20759
113,4.74915,2.29771
114,4.72108,2.38794
115,4.68844,2.47799
116,4.65118,2.56752
117,4.60928,2.65619
118,4.56275,2.74366
119,4.51163,2.82958
120,4.456,2.9136
121,4.39597,2.99537
122,4.33169,3.07457
123,4.26334,3.15086
124,4.19113,3.22396
125,4.1153,3.29356
126,4.03611,3.35942
127,3.95387,3.42131
128,3.86888,3.47903
129,3.78147,3.5324
130,3.69197,3.58131
131,3.60074,3.62564
132,3.50812,3.66534
133,3.41447,3.70037
134,3.32012,3.73075
135,3.22541,3.7565
136,3.13066,3.77769
137,3.03619,3.79441
138,2.94227,3.80678
139,2.84919,3.81494
140,2.7572,3.81904
141,2.66651,3.81925
142,2.57735,3.81577
143,2.48989,3.80879
144,2.40429,3.7985
145,2.32069,3.78512
146,2.23922,3.76885
147,2.15996,3.74991
148,2.08299,3.7285
149,2.00837,3.70483
150,1.93615,3.67909
151,1.86634,3.65147
152,1.79897,3.62217
153,1.73403,3.59136
154,1.6715,3.55921
155,1.61138,3.52588
156,1.55361,3.49152
157,1.49818,3.45628
158,1.44502,3.42028
159,1.3941,3.38366
160,1.34535,3.34653
161,1.29872,3.30899
162,1.25415,3.27114
163,1.21157,3.23308
164,1.17091,3.19489
165,1.13212,3.15664
166,1.09513,3.1184
167,1.05986,3.08024
168,1.02626,3.04221
169,0.994259,3.00435
170,0.963792,2.96673
171,0.934797,2.92937
172,0.907213,2.89231
173,0.880979,2.85559
174,0.856038,2.81923
175,0.832332,2.78325
176,0.809807,2.74768
177,0.78841,2.71254
178,0.76809,2.67783
179,0.748797,2.64358
180,0.730485,2.60979
181,0.713107,2.57646
182,0.69662,2.54362
183,0.680982,2.51126
184,0.666154,2.47938
185,0.652096,2.44799
186,0.638772,2.41709
187,0.626146,2.38667
188,0.614187,2.35674
189,0.60286,2.32729
190,0.592137,2.29832
191,0.581987,2.26983
192,0.572384,2.2418
193,0.5633,2.21425
194,0.55471,2.18716
195,0.546592,2.16052
196,0.53892,2.13433
197,0.531675,2.10858
198,0.524835,2.08327
199,0.51838,2.05839
200,0.512292,2.03394
201,0.506553,2.0099
202,0.501147,1.98626
203,0.496056,1.96303
204,0.491265,1.9402
205,0.486761,1.91775
206,0.482528,1.89568
207,0.478555,1.87398
208,0.474827,1.85265
209,0.471334,1.83167
210,0.468064,1.81105
211,0.465006,1.79077
212,0.46215,1.77083
213,0.459486,1.75121
214,0.457005,1.73192
215,0.454697,1.71295
216,0.452555,1.69429
217,0.450571,1.67593
218,0.448736,1.65787
219,0.447043,1.64009
220,0.445487,1.62261
221,0.444059,1.6054
222,0.442754,1.58846
223,0.441566,1.57179
224,0.440488,1.55538
225,0.439517,1.53923
226,0.438646,1.52333
227,0.43787,1.50767
228,0.437186,1.49225
229,0.436588,1.47706
230,0.436072,1.46211
231,0.435634,1.44738
232,0.435271,1.43287
233,0.434978,1.41857
234,0.434752,1.40449
235,0.43459,1.39061
236,0.434489,1.37693
237,0.434445,1.36345
238,0.434455,1.35016
239,0.434518,1.33706
240,0.43463,1.32415
241,0.434788,1.31141
242,0.434991,1.29886
243,0.435236,1.28648
244,0.435521,1.27427
245,0.435843,1.26222
246,0.436202,1.25034
247,0.436594,1.23862
248,0.437018,1.22705
249,0.437473,1.21564
250,0.437956,1.20438
251,0.438467,1.19326
252,0.439003,1.18229
253,0.439563,1.17146
254,0.440146,1.16077
255,0.44075,1.15022
256,0.441375,1.1398
257,0.442019,1.1295
258,0.442681,1.11934
259,0.443359,1.1093
260,0.444054,1.09938
261,0.444763,1.08959
262,0.445486,1.07991
263,0.446222,1.07034
264,0.44697,1.06089
265,0.447729,1.05155
266,0.448498,1.04233
267,0.449278,1.0332
268,0.450066,1.02418
269,0.450863,1.01527
270,0.451667,1.00646
271,0.452478,0.997742
272,0.453296,0.989124
273,0.454119,0.980602
274,0.454948,0.972174
275,0.455782,0.963837
276,0.45662,0.955591
277,0.457461,0.947433
278,0.458306,0.939362
279,0.459154,0.931376
280,0.460004,0.923474
281,0.460857,0.915654
282,0.461711,0.907915
283,0.462566,0.900256
284,0.463423,0.892674
285,0.46428,0.885169
286,0.465138,0.877739
287,0.465995,0.870383
288,0.466853,0.863099
289,0.46771,0.855886
290,0.468566,0.848744
291,0.469421,0.84167
292,0.470275,0.834664
293,0.471127,0.827724
294,0.471978,0.82085
295,0.472827,0.81404
296,0.473674,0.807292
297,0.474519,0.800607
298,0.475361,0.793983
299,0.476201,0.787418
300,0.477038,0.780913
301,0.477872,0.774465
302,0.478703,0.768075
303,0.479531,0.76174
304,0.480356,0.75546
305,0.481177,0.749235
306,0.481995,0.743063
307,0.482809,0.736943
308,0.483619,0.730875
309,0.484425,0.724857
310,0.485228,0.718889
311,0.486026,0.712971
312,0.486821,0.7071
313,0.487611,0.701277
314,0.488397,0.695501
315,0.489178,0.689771
316,0.489956,0.684086
317,0.490728,0.678446
318,0.491497,0.672849
319,0.49226,0.667296
320,0.493019,0.661785
321,0.493774,0.656315
322,0.494523,0.650887
323,0.495268,0.6455
324,0.496009,0.640152
325,0.496744,0.634844
326,0.497475,0.629574
327,0.4982,0.624342
328,0.498921,0.619148
329,0.499637,0.613991
330,0.500348,0.60887
331,0.501053,0.603784
332,0.501754,0.598734
333,0.50245,0.593719
334,0.503141,0.588738
335,0.503827,0.58379
336,0.504507,0.578876
337,0.505183,0.573994
338,0.505854,0.569145
339,0.506519,0.564327
340,0.50718,0.559541
341,0.507835,0.554785
342,0.508485,0.550059
343,0.509131,0.545363
344,0.509771,0.540697
345,0.510406,0.53606
346,0.511035,0.531451
347,0.51166,0.52687
348,0.51228,0.522317
349,0.512895,0.517792
350,0.513504,0.513293
351,0.514109,0.508821
352,0.514708,0.504375
353,0.515303,0.499954
354,0.515892,0.495559
355,0.516476,0.491189
356,0.517056,0.486844
357,0.51763,0.482523
358,0.518199,0.478226
359,0.518763,0.473953
360,0.519323,0.469702
361,0.519877,0.465475
362,0.520426,0.46127
363,0.520971,0.457088
364,0.52151,0.452927
365,0.522045,0.448788
366,0.522574,0.444671
367,0.523099,0.440574
368,0.523619,0.436499
369,0.524134,0.432443
370,0.524644,0.428408
371,0.52515,0.424392
372,0.52565,0.420397
373,0.526146,0.41642
374,0.526637,0.412462
375,0.527124,0.408523
376,0.527605,0.404603
377,0.528082,0.400701
378,0.528554,0.396816
379,0.529021,0.39295
380,0.529484,0.389101
381,0.529942,0.385269
382,0.530396,0.381453
383,0.530844,0.377655
384,0.531289,0.373873
385,0.531728,0.370107
386,0.532163,0.366358
387,0.532594,0.362623
388,0.53302,0.358905
389,0.533441,0.355202
390,0.533858,0.351514
391,0.53427,0.34784
392,0.534678,0.344182
393,0.535082,0.340537
394,0.535481,0.336907
395,0.535876,0.333291
396,0.536266,0.329689
397,0.536652,0.326101
398,0.537034,0.322526
399,0.537411,0.318964
400,0.537784,0.315415
401,0.538152,0.311878
402,0.538517,0.308355
403,0.538877,0.304844
404,0.539232,0.301345
405,0.539584,0.297858
406,0.539931,0.294383
407,0.540274,0.29092
408,0.540613,0.287469
409,0.540948,0.284028
410,0.541279,0.280599
411,0.541605,0.277181
412,0.541927,0.273774
413,0.542245,0.270377
414,0.54256,0.266991
415,0.54287,0.263615
416,0.543175,0.26025
417,0.543477,0.256894
418,0.543775,0.253549
419,0.544069,0.250213
420,0.544359,0.246886
421,0.544645,0.243569
422,0.544927,0.240261
423,0.545205,0.236963
424,0.545478,0.233673
425,0.545748,0.230392
426,0.546015,0.227119
427,0.546277,0.223856
428,0.546535,0.2206
429,0.546789,0.217353
430,0.54704,0.214113
431,0.547287,0.210882
432,0.54753,0.207658
433,0.547769,0.204443
434,0.548004,0.201234
435,0.548235,0.198033
436,0.548463,0.194839
437,0.548687,0.191653
438,0.548907,0.188473
439,0.549123,0.1853
440,0.549336,0.182134
441,0.549544,0.178974
442,0.549749,0.175821
443,0.549951,0.172674
444,0.550149,0.169534
445,0.550343,0.166399
446,0.550533,0.163271
447,0.550719,0.160148
448,0.550902,0.157031
449,0.551082,0.153919
450,0.551257,0.150814
451,0.551429,0.147713
452,0.551598,0.144617
453,0.551763,0.141527
454,0.551924,0.138442
455,0.552082,0.135361
456,0.552236,0.132286
457,0.552386,0.129215
458,0.552533,0.126148
459,0.552676,0.123086
460,0.552816,0.120028
461,0.552952,0.116975
462,0.553085,0.113925
463,0.553214,0.11088
464,0.55334,0.107838
465,0.553462,0.1048
466,0.55358,0.101765
467,0.553695,0.0987346
468,0.553807,0.0957072
469,0.553915,0.0926831
470,0.554019,0.0896622
471,0.554121,0.0866443
472,0.554218,0.0836295
473,0.554312,0.0806175
474,0.554403,0.0776083
475,0.55449,0.0746017
476,0.554574,0.0715977
477,0.554654,0.0685962
478,0.554731,0.065597
479,0.554804,0.0626001
480,0.554874,0.0596053
481,0.554941,0.0566125
482,0.555004,0.0536216
483,0.555064,0.0506326
484,0.55512,0.0476453
485,0.555173,0.0446596
486,0.555222,0.0416755
487,0.555268,0.0386928
488,0.555311,0.0357113
489,0.55535,0.0327311
490,0.555385,0.0297521
491,0.555418,0.026774
492,0.555447,0.0237968
493,0.555472,0.0208204
494,0.555494,0.0178448
495,0.555513,0.0148697
496,0.555528,0.0118952
497,0.55554,0.00892103
498,0.555549,0.00594718
499,0.555554,0.00297354
