x,y
0,-3.73035e-14,0
1,4.10783e-14,-7.88952e-15
2,1.9984e-15,-2.32037e-14
3,-2.88658e-15,-3.80251e-15
4,1.33227e-15,-3.37508e-14
5,-2.27596e-14,1.44329e-14
6,-2.93099e-14,1.65423e-14
7,-6.99441e-15,9.99201e-15
8,5.32907e-15,9.49241e-15
9,5.55112e-15,-9.99201e-16
10,2.9643e-14,2.60902e-14
11,2.45359e-14,-5.21805e-15
12,1.9873e-14,-3.4639e-14
13,-7.4718e-14,9.88098e-15
14,1.11466e-13,1.55431e-15
15,1.67644e-14,-5.81757e-14
16,3.16414e-14,-2.74225e-14
17,-4.71845e-15,-6.61693e-14
18,-8.04912e-15,-4.44089e-14
19,-4.01346e-14,-8.12683e-14
20,-2.83773e-13,50
21,6.88616e-14,8.54872e-14
22,-2.56739e-14,2.67564e-14
23,7.92977e-14,1.66533e-15
24,3.30291e-15,-1.95399e-14
25,-1.70518e-14,1.17684e-14
26,8.11781e-14,5.61773e-14
27,-9.47853e-15,-2.36478e-14
28,5.21805e-15,-7.77156e-16
29,1.42664e-14,-2.33147e-14
30,1.05471e-15,2.20934e-14
31,7.08877e-14,3.79696e-14
32,1.19349e-14,3.83027e-14
33,5.7121e-14,4.65183e-14
34,-3.88578e-14,-7.99361e-15
35,-2.59792e-14,-2.83107e-14
36,-7.91589e-14,8.71525e-14
37,8.4488e-14,-3.88578e-14
38,9.32587e-15,1.22236e-13
39,1.7375e-13,-9.90319e-14
40,-6.77236e-14,-5.72875e-14
41,-8.74856e-14,-2.72005e-14
42,2.81997e-14,-3.38063e-14
43,-1.49547e-13,9.50906e-14
44,1.00919e-13,-1.39333e-14
45,-2.64233e-14,9.54792e-15
46,9.76996e-15,1.17961e-14
47,-2.0095e-14,6.14786e-14
48,-3.11973e-14,1.07803e-13
49,5.78426e-14,5.91818e-14
