x,y
0,-7.99361e-15,0
1,50,1.00892e-14
2,6.99441e-15,5.68989e-15
3,1.14353e-14,6.57807e-15
4,9.10383e-15,-5.44009e-15
5,2.33147e-15,-6.66134e-16
6,-2.22045e-16,-6.43929e-15
7,8.32667e-15,-4.77396e-15
8,6.66134e-16,3.33067e-15
9,1.19904e-14,-4.77396e-15
10,1.33227e-15,-1.09912e-14
11,-1.77636e-15,-3.07532e-14
12,3.24185e-14,2.84217e-14
13,-9.99201e-16,-3.33067e-16
14,-7.10543e-15,-1.28786e-14
15,2.44249e-15,-7.66054e-15
16,-2.06501e-14,-1.83187e-14
17,2.88658e-15,2.90878e-14
18,-3.14193e-14,-2.57572e-14
19,2.83107e-14,2.63123e-14
20,-1.17684e-14,4.32987e-15
21,3.747e-15,-1.64313e-14
22,4.60465e-14,1.80966e-14
23,1.45439e-14,-1.31006e-14
24,7.91034e-15,-1.4877e-14
25,4.44406e-14,-6.71685e-14
26,-4.76008e-15,1.11022e-16
27,2.00395e-14,2.05391e-14
28,-2.87825e-14,-7.21645e-15
29,-1.06026e-14,-3.77476e-14
30,6.10623e-16,-1.22125e-15
31,-2.78111e-14,-2.76446e-14
32,-7.66054e-15,-1.65423e-14
33,3.10862e-15,-4.27436e-14
34,-7.54952e-15,-4.25215e-14
35,-7.4718e-14,-1.17018e-13
36,0,-7.03881e-14
37,-6.73905e-14,1.18794e-14
38,-3.9635e-14,-4.14113e-14
39,-9.4813e-14,-2.66454e-14
40,-3.26406e-14,4.55191e-14
41,-7.49401e-14,4.40759e-14
42,-4.05231e-14,1.04305e-13
43,6.92779e-14,1.08635e-13
44,-6.21725e-15,-1.17129e-14
45,4.24105e-14,7.99361e-14
46,-4.9849e-14,-1.11855e-14
47,-5.4734e-14,1.7597e-14
48,-1.21014e-14,-2.45914e-14
49,1.75415e-14,8.83182e-14
