x,y
0,1,0
1,1,42.4308
2,1,16.9556
3,1,10.882
4,1,8.04213
5,1,6.37805
6,1,5.27928
7,1,4.49706
8,1,3.91034
9,1,3.45297
10,1,3.08566
11,1,2.78359
12,1,2.53032
13,1,2.31448
14,1,2.128
15,1,1.96496
16,1,1.82093
17,1,1.69252
18,1,1.5771
19,1,1.47261
20,1,1.37737
21,1,1.29004
22,1,1.20953
23,1,1.13492
24,1,1.06545
25,1,1.00049
26,1,0.939499
27,1,0.882005
28,1,0.827616
29,1,0.775986
30,1,0.726817
31,1,0.679844
32,1,0.634839
33,1,0.591595
34,1,0.549931
35,1,0.509684
36,1,0.470706
37,1,0.432865
38,1,0.396041
39,1,0.360123
40,1,0.325008
41,1,0.290605
42,1,0.256824
43,1,0.223584
44,1,0.190809
45,1,0.158425
46,1,0.126361
47,1,0.0945514
48,1,0.0629303
49,1,0.031434
