x,y
0,5.23193e-15,0
1,-1.4766e-14,50
2,2.64372e-15,3.96558e-15
3,-5.64132e-15,6.10276e-15
4,1.18655e-15,6.31613e-15
5,7.70911e-15,-1.14492e-15
6,5.96051e-15,3.40353e-15
7,8.03524e-15,5.20417e-17
8,-4.996e-15,1.9082e-16
9,8.32667e-16,3.5319e-15
10,-1.25455e-14,1.11716e-14
11,-6.66134e-16,1.68338e-14
12,-7.58421e-15,4.94743e-15
13,-8.27116e-15,-2.48412e-15
14,-1.14284e-14,-8.95811e-15
15,3.94129e-15,4.16334e-15
16,-1.34823e-14,2.02338e-14
17,3.79453e-14,2.45637e-15
18,1.36002e-14,-2.90185e-14
19,-4.39128e-14,-2.57225e-14
20,1.42421e-14,-1.37321e-14
21,7.68482e-16,5.64132e-15
22,-1.40946e-14,-1.93318e-14
23,-3.64743e-14,-3.23352e-15
24,-3.45991e-15,3.70121e-14
25,1.2652e-15,3.28348e-14
26,1.84262e-14,-1.03251e-14
27,-9.24261e-15,-1.07137e-14
28,-1.75224e-14,-6.14092e-15
29,-2.03934e-14,9.72833e-15
30,4.64906e-15,-3.98986e-15
31,2.68605e-14,-9.71445e-17
32,1.58311e-14,-2.69229e-15
33,-2.78909e-14,4.50334e-14
34,-3.92464e-14,-7.38992e-14
35,9.52918e-14,-2.33216e-14
36,2.01922e-15,7.41907e-14
37,5.34295e-15,1.15255e-14
38,-2.99483e-14,-4.66571e-14
39,-5.86128e-14,4.39232e-14
40,1.48881e-13,5.83075e-14
41,2.21975e-14,-9.37167e-14
42,-1.13118e-13,-3.17767e-14
43,-3.84831e-14,5.29229e-14
44,-4.8489e-14,6.38586e-14
45,-4.46032e-14,3.31818e-14
46,4.87596e-14,-4.97918e-14
47,-8.34055e-15,-5.13322e-14
48,-5.44842e-14,-2.19789e-15
49,-7.22339e-14,1.71477e-14
