x,y
0,63.6567,0
1,-21.2259,-5.96355e-15
2,-4.24937,-5.81132e-15
3,-1.82416,-3.64899e-15
4,-1.01576,-2.19529e-15
5,-0.648312,-5.35856e-15
6,-0.450462,-2.7426e-15
7,-0.331759,7.1089e-15
8,-0.254958,-3.60996e-15
9,-0.202417,-7.60503e-15
10,-0.164895,-1.81938e-14
11,-0.137169,-3.71925e-15
12,-0.116105,-5.47826e-15
13,-0.0997295,6.47052e-15
14,-0.0867503,1.21431e-14
15,-0.0762913,-1.01204e-14
16,-0.0677424,8.04912e-16
17,-0.0606675,-3.31367e-14
18,-0.0547486,6.32376e-14
19,-0.0497492,-1.66533e-16
20,-0.0454906,1.25247e-15
21,-0.0418355,1.16469e-14
22,-0.0386772,-1.05818e-14
23,-0.035932,4.21191e-15
24,-0.0335329,-1.09635e-14
25,-0.0314263,-2.70339e-14
26,-0.0295687,7.18176e-15
27,-0.0279247,-2.05669e-14
28,-0.0264648,2.47649e-14
29,-0.0251649,1.49568e-14
30,-0.0240047,-1.09461e-14
31,-0.0229673,-1.01134e-14
32,-0.0220382,6.66481e-15
33,-0.0212054,1.57409e-14
34,-0.0204586,5.56499e-14
35,-0.0197889,2.33182e-14
36,-0.0191888,1.97516e-14
37,-0.0186519,-5.27703e-14
38,-0.0181725,1.09981e-14
39,-0.017746,-6.63011e-14
40,-0.0173682,-3.19675e-14
41,-0.0170356,8.30239e-14
42,-0.0167451,2.54657e-14
43,-0.0164944,-1.0208e-13
44,-0.0162811,-5.96485e-14
45,-0.0161034,-4.64264e-14
46,-0.01596,6.31994e-14
47,-0.0158497,4.63856e-14
48,-0.0157715,1.17675e-14
49,-0.0157248,-5.00793e-14
