x,y
0,148,0
1,503.413,55.5146
2,107.095,26.0189
3,-148.115,-239.752
4,-106.061,518.865
5,81.823,21.7492
6,-292.908,-152.153
7,225.114,558.98
8,87.6653,-310.985
9,13.171,-275.111
10,-704.257,-253.477
11,-648.052,-146.543
12,298.143,-176.442
13,-125.017,157.412
14,-101.017,602.975
15,-0.291896,-30.1293
16,-245.05,0.286916
17,-227.95,-22.4629
18,396.098,49.3728
19,700.307,-510.833
20,-519.285,-566.641
21,-377.886,93.5653
22,-172.147,386.108
23,-110.919,-238.824
24,87.3615,-1045.81
25,-129,-613
26,-50.5416,541.162
27,-471.01,288.589
28,487.012,-130.147
29,-114.74,429.253
30,356.757,-216.612
31,-84.4437,597.714
32,-35.1694,-349.836
33,-1112.63,-27.922
34,-438.669,-509.871
35,-241.689,-512.246
36,433.294,551.694
37,42.1812,-142.288
38,-584.143,99.1091
39,-268.047,-39.2397
40,532.785,-525.009
41,-364.911,299.798
42,8.2076,244.032
43,176.945,-520.83
44,204.091,14.3072
45,244.158,-121.125
46,-429.475,323.505
47,-428.752,-100.096
48,201.214,-276.526
49,216.345,51.4066
